Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
desc_study_duration,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>How long will the study last?</p> <p><span style=""font-weight: normal;"">We expect the study to last for [insert time frame], but we will notify you immediately if there are any changes that impact you directly.</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_part_details,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What will happen if you decide to take part in the study?</p> <p><span style=""font-weight: normal;"">We will go through the participant information with you to ensure that you understand what the study is about, what is expected of you as the participant, and also, what is expected of us as the researchers. While going through this information we will be asking you some questions and at the end, you will be asked to give signed permission to participate in our study. </span></p> <p><span style=""font-weight: normal;"">Participation in our study is voluntary and you have the option not to participate. Even after you have agreed to join our study, you can still change your mind and we will destroy your sample and remove you from the study. If you choose not to participate in our study or drop out later, it will NOT affect the care you are receiving at [</span>insert health care facility<span style=""font-weight: normal;"">].</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_risks,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What are the risks?</p> <p><span style=""font-weight: normal;"">We will make sure that your health information and sample are protected and safely stored, because there is always some small risk that the special pattern of genes from your sample could be used to work out who you are and see your health information if other people were to get hold of this information. We will be very careful in making sure all this personal information is very secure so that this could not happen.</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_harms_guide,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PAGE TWO</strong></p>",descriptive,"<div class=""rich-text-field-label""><p>What happens if I get hurt taking part in this study?</p> <p><span style=""font-weight: normal;"">This study poses minimal risk of physical harm to you as a participant. However, if you get hurt as a direct result of participating in the study, you should inform the principal investigator [</span>full names and contact number<span style=""font-weight: normal;"">] immediately and they will assist with the next steps.</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_benefits,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Are there any benefits to you for being in the study?</p> <p><span style=""font-weight: normal;"">You may not get any benefit directly from this study, but we hope that the information we get about your genes and your health may benefit others who have [</span>specific health phenotype<span style=""font-weight: normal;"">] and many different kinds of illnesses, in the future. You do not have to take part in this study, it is your choice if you want to take part, or not. If you do not want to take part, it will NOT affect the health care you receive at [</span>specific health facility<span style=""font-weight: normal;"">].</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_reimburse,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Will you receive any reward (money or food vouchers) for taking part in this study?</p> <p><span style=""font-weight: normal;"">Participation in research is voluntary and research participants do not get paid for it. However, if you use your own money to travel from home for the specific purpose of taking part in our research we can reimburse you for that. We can also provide food or food vouchers if participating in our research requires a special diet or if you miss meals while participating in our research.</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_data_collect,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What will we ask for?</p> <p><span style=""font-weight: normal;"">We will ask you a few simple questions about your life and where you grew up. In order to better understand your health, we will ask you for permission to look at your health records that [</span>name of organisation/department<span style=""font-weight: normal;"">] collects when you visit government health facilities like clinics or hospitals - such as any medical tests that have been done and any medication that you have been given at any government facility. We will also ask you to provide a swab or rinse of the inside of your mouth and we will use this to prepare a sample of your genes.</span></p></div>",,,,,,,,,,,,, @readonly
consent_data_collection,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you agree for us to collect these body fluid samples and your health information for this study we have described about how genes might affect [specific health phenotype]?</p></div>",,,,,,,,y,LH,,,,
consent_health_information,study_consent,,yesno,"<div class=""rich-text-field-label""><p>We would like to know more about your general health.</p> <p>Do you agree for us to use your health information that is collected by health care workers (nurses, doctors, pharmacists) during your visits to health care facilities?</p></div>",,,,,,,,y,LH,,,,
consent_med_record,study_consent,,text,"<div class=""rich-text-field-label""><p>Medical record number:</p></div>",,,,,,,[consent_health_information] = '1',y,LH,,,,
desc_study_close,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PAGE THREE</strong></p>",descriptive,"<div class=""rich-text-field-label""><p>What will happen when the study is over?</p> <p><span style=""font-weight: normal;"">Your sample will be destroyed unless you have agreed for us to use it in future studies.</span> </p></div>",,,,,,,,,,,,, @readonly
desc_study_data_review,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Who will see the information which is collected about you during the study?</p> <p><span style=""font-weight: normal;"">To make sure that your privacy is protected in this study, we will make sure that your information is used for this research without your name, or your date of birth, or any other identifying information attached to it. This way, no one working on this study will know who the information or the genetic sample comes from</span>.</p></div>",,,,,,,,,,,,, @readonly
desc_study_data_privacy,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>How will we protect your information?</p> <p><span style=""font-weight: normal;"">All your genes together make a special pattern in all of your body that only you have, and this is why no two people are exactly alike. Because each person has their own special pattern of genes, researchers are very careful to protect the genetic samples that are collected and the information from these samples, and these samples and information will only be used in the way you have agreed to. </span><br /><br /><span style=""font-weight: normal;"">To make sure that your privacy is protected in this study, we will make sure that your information is used for this research without your name, or your date of birth, or any other identifying information attached to it. We will be very careful in making sure all this personal information is very secure and we will lock away any document with your name on it so that no-one can identify you from it. We will make sure all computers used for the study are kept securely and are protected by passwords.</span></p></div>",,,,,,,,,,,,, @readonly
desc_study_test_results,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Will your test results be shared with you?</p> <p style=""text-align: justify; line-height: 150%;""><span style=""font-weight: normal;"">We will not give you any individual results from the study of the samples you give us. This is because it will probably take a long time for this project to result in specific health information that is useful to patients. </span> </p> <p style=""text-align: justify; line-height: 150%;""><span style=""font-weight: normal;"">If you agree for your information to be used in other studies in the future, it is possible that some new health information might be discovered in those studies. We will ask you if you would like to know any new information that might become available about your health.</span></p></div>",,,,,,,,,,,,, @readonly
consent_new_info_contact,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Sometimes, what we find from our research might include new information about your health.</p> <p>Would you like us to contact you again if we believe we have new information that may directly affect your health?</p></div>",,,,,,,,y,LH,,,,
consent_new_tx_contact,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Would you like us to contact you again if there is some kind of action or treatment that might be able to help you with the health issue?</p></div>",,,,,,,,y,LH,,,,
consent_no_tx_contact,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Would you like us to contact you again if there is NO kind of action or treatment that might be able to help you with the health issue?</p></div>",,,,,,,,y,LH,,,,
desc_study_results,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PAGE FOUR</strong></p>",descriptive,"<div class=""rich-text-field-label""><p>Will the results of the research be shared with you?</p> <p style=""text-align: justify; line-height: 150%;""><span style=""font-weight: normal;"">At the end of the study, we will put our general findings from the study in some pamphlets and posters at the clinics where people have joined this study.  There, you will be able to read how this study is contributing to our understanding of health and disease. When we describe the results of this study in this way, we will only show summary results or overall study results from the whole study, and there will be no information about the individual people who took part in the study.</span></p></div>",,,,,,,,,,,,, @readonly
consent_grouped_data,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Sometimes researchers combine the genetic information from everyone in the study and provide a summary of genetic data for the whole group.</p> <p>Do you agree for us to use your information when providing combined information about the whole research group (x total individuals in this study)?</p></div>",,,,,,,,y,LH,,,,
desc_datasamples_process,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What will we do with your data and samples?</p> <p style=""text-align: justify; line-height: 150%;""><span style=""font-weight: normal;"">Your sample will be stored at [</span>name of storage facility<span style=""font-weight: normal;"">] until the study is over. The information from your sample will be very securely stored at [</span>name of storage facility<span style=""font-weight: normal;"">]. The [</span>name of storage facility<span style=""font-weight: normal;"">] will lock away any document with your name on it so that no-one can identify you from it. We will make sure all computers used for the study are kept securely and are protected by passwords.</span></p> <p style=""text-align: justify; line-height: 150%;""><span style=""font-weight: normal;"">Your samples will never be sold, and we will not make any money from this research. The scientific results that we find from this study will be free and openly available to all scientists to help understand how we can better treat [ specific disease]. In the future, commercial products might be developed by companies using the information that comes out of this study. If this happens, you will not be able to share in any profits.</span></p></div>",,,,,,,,,,,,, @readonly
desc_samples_future_use,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Will any of your blood, tissue or other samples be stored and used for research in the future?</p> <p><span style=""font-weight: normal;"">Your samples will only be stored and used for future studies if you give us permission to use them this way. If you do not give permission for your samples to be used for future studies, they will be destroyed at the end of this study. It is your choice to give permission for future use and that choice will not affect your participation in the current study and will not affect the health care you are receiving at [</span>insert name of health care facility<span style=""font-weight: normal;"">]</span>. </p></div>",,,,,,,,,,,,, @readonly
consent_genetic_use,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you agree for us to use your genetic samples together with your health information for other studies in the future that want to study the effect of genes on [specific health phenotype]?</p></div>",,,,,,,,y,LH,,,,
consent_genetic_futureuse,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you agree for us to use your genetic samples together with your health information for other studies in the future to study the effect of genes on other health conditions or related biological processes?</p></div>",,,,,,,,y,LH,,,,
consent_future_contact,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PAGE FIVE</strong></p>",yesno,"<div class=""rich-text-field-label""><p>Sometimes what we find from a study like this might lead to new studies being done in the future. Can other researchers contact you in the future to invite you to take part in other research studies?</p></div>",,,,,,,,y,LH,,,,
consent_future_contacttype,study_consent,,radio,"<div class=""rich-text-field-label""><p>If yes, how would you like to be contacted?</p></div>","1, Telephone | 2, Letter | 3, Visit | 4, Email",,,,,,[consent_future_contact] = '1',y,,,,,
desc_international,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Can my samples and information be used in research outside the country?</p> <p><span style=""font-weight: large;""><span style=""font-weight: normal;"">There is an international study that is combining the results from</span> <span style=""font-weight: normal;"">[</span></span>specify disease<span style=""font-weight: normal;"">] studies like ours that are taking place around the world. The information from samples donated from everyone around the world will be made available to researchers in a large data storage resource in Europe called the European Genome Archive (EGA) and will be provided to other researchers who want to do more studies using the combined genetic and health information.</span><br /><br /><span style=""font-weight: normal;"">We will ask you if you would like your sample and health details to be included in this international study - you do not have to agree to join the international study, it is your choice.</span></p></div>",,,,,,,,,,,,,
consent_international,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you agree for us to share your DNA sample for genetic analysis together with your health information for International studies being done to better understand [specific disease]? Your genetic data and health data may be shared with other international researchers for other studies in the future</p></div>",,,,,,,,y,LH,,,,
desc_popn_ancestry,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>Can my samples be used in studies about population origins and ancestry?</p> <p><span style=""font-weight: normal;"">There are researchers who are interested in studying genes to find out more about the origins and ancestry of different populations. Our genes contain information that can be used to work out where our family and our ancestors come from - our origins.</span></p> <p><span style=""font-weight: normal;"">Sometimes the information from genetic studies about our ancestry may be different to what we already believe about where our family came from, or who our ancestors were, but this information can also help us understand more about human history and how people migrated around the world in the past.</span></p> <p><span style=""font-weight: normal;"">We will ask you if you would like your DNA sample to be included in studies about population origins and ancestry - you do not have to agree for your sample to be used in this kind of study, it is your choice.</span></p></div>",,,,,,,,,,,,,
consent_popn_ancestry,study_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you agree for us to share your DNA sample for genetic analysis in other research studies about population origins and ancestry?</p></div>",,,,,,,,y,LH,,,,
desc_study_withdrawal,study_consent,,descriptive,"<div class=""rich-text-field-label""><p>What to do if you have questions or change your mind about being in the study?</p> <p><span style=""font-weight: normal;"">If you have any questions, you can contact [</span>name of institutional review board (IRB)<span style=""font-weight: normal;"">] and speak to [</span>full names and contact number of the relevant person at the IRB<span style=""font-weight: normal;"">]. If you change your mind and you no longer want your information or sample to be included in this study, or you have other questions you can also contact [</span>full names and contact number of study principal investigator<span style=""font-weight: normal;"">] with your questions, or to have your information removed from this study and to have your sample destroyed.</span></p></div>",,,,,,,,,,,,, @readonly
consent_date,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>PARTICIPANT AGREEMENT</strong></p>",text,"<div class=""rich-text-field-label""><p>Date of consent:</p></div>",,DD-MM-YYYY,date_dmy,,,,,y,,,,,
consent_study_id,study_consent,,text,"<div class=""rich-text-field-label""><p>Study ID Number:</p></div>",,,,,,,,y,,,,, @DEFAULT=[record_id]
consent_fullname,study_consent,,text,"<div class=""rich-text-field-label""><p>Participant full name:</p></div>",,Full name as on Identification Document,,,,y,,y,,,,,
consent_confirmation,study_consent,,checkbox,"<div class=""rich-text-field-label""><p>Participant confirmation:</p></div>","1, I understand that signing this form electronically is the equivalent of signing a physical document",,,,,,,y,LH,,,,
consent_signature,study_consent,,file,"<div class=""rich-text-field-label""><p>Participant signature:</p></div>",,,signature,,,,,y,LH,,,,
consent_staff_name,study_consent,"<div class=""rich-text-field-label""><p><p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>STAFF MEMBER ADMINISTERING CONSENT</strong></p></p></div>",text,"<div class=""rich-text-field-label""><p>Staff member name:</p></div>",,Fullname,,,,y,,y,,,,,
consent_staff_signature,study_consent,,file,"<div class=""rich-text-field-label""><p>Staff member signature:</p></div>",,,signature,,,,,y,,,,,
consent_audio_validation,study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>CONSENT AUDIO CONFIRMATION</strong></p>",checkbox,Checklist for consent audio validation,"1, Date of consent administration | 2, Researcher verbally confirms identity | 3, Research study named | 4, Participant verbally confirms identity and participation in study | 5, Quality of audio file checked before upload",,,,,,,,LV,,,,
consent_audio,study_consent,,file,Audio verification,,,,,,y,,,,,,,
consent_version,study_consent,,descriptive,"Study Consent - Core Instrument Version 2.0 Released September 2022
H3ABioNet & H3Africa Phenotype Standards",,,,,,,,,,,,,
consent_withdrawal_date,withdrawal_of_study_consent,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>WITHDRAWAL OF CONSENT</strong></p>",text,"<div class=""rich-text-field-label""><p>Date of withdrawal:</p></div>",,DD-MM-YYYY,date_dmy,,,,,y,,,,,
consent_withdrawal_type,withdrawal_of_study_consent,,radio,"<div class=""rich-text-field-label""><p>Do you wish to withdraw your consent to participate in the entire study or parts of the study?</p></div>","1, Complete withdrawal | 2, Partial withdrawal",,,,,,,y,,,,,
consent_partialwithdrawal,withdrawal_of_study_consent,,notes,"<div class=""rich-text-field-label""><p>Please state from which part(s) of the study you would like to withdraw your consent:</p></div>",,,,,,,[consent_withdrawal_type] = '2',y,LH,,,,
consent_withdraw_rsn,withdrawal_of_study_consent,,notes,"<div class=""rich-text-field-label""><p>Reason(s) for withdrawing consent:</p> <p><span style=""font-weight: normal;"">The participant is not obliged to give a reason, therefore if no reason is given type ""none given""</span></p></div>",,,,,,,,y,LH,,,,
consent_withdraw_sign,withdrawal_of_study_consent,,file,"<div class=""rich-text-field-label""><p>Participant signature:</p></div>",,,signature,,,,,y,,,,,
consent_withdraw_staff,withdrawal_of_study_consent,"<div class=""rich-text-field-label""><p><p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>STAFF MEMBER CONDUCTING STUDY WITHDRAWAL PROCESS</strong></p></p></div>",text,"<div class=""rich-text-field-label""><p>Staff Member Name:</p></div>",,Full name,,,,y,,y,,,,,
consent_withdraw_staffrole,withdrawal_of_study_consent,,text,"<div class=""rich-text-field-label""><p>Staff member designation</p></div>",,,,,,,,,,,,,
consent_withdraw_staffsign,withdrawal_of_study_consent,,file,"<div class=""rich-text-field-label""><p>Staff Member Signature:</p></div>",,,signature,,,,,y,,,,,
withdrawal_version,withdrawal_of_study_consent,,descriptive,"Withdrawal - Core Instrument Version 2.0 Released September 2022
H3ABioNet & H3Africa Phenotype Standards",,,,,,,,,,,,,
enrol_date,demographics_core,,text,The participant's date of enrollment:,,DD-MM-YYYY,date_dmy,,,,,y,,,,, @ONTOLOGY='NCIT:C83026'
dob,demographics_core,"<p style=""text-align: left; font-size: 14pt;font-style: Calibri;""><strong>DEMOGRAPHICS</strong></p>",text,What is the participant's date of birth?,,DD-MM-YYYY,date_dmy,,,y,,y,,,,, @ONTOLOGY='EFO:0004950'
age_approx,demographics_core,,text,About how old is the participant? ONLY If date of birth unknown),,Enter an integer number and select units of measure,integer,1,365,,[dob]='' or [dob]=-992,y,,,,, @ONTOLOGY='EFO:0000246'
age_approxunits,demographics_core,,radio,Approximated age measured in:,"1, Years | 2, Months | 3, Weeks | 4, Days",,,,,,([dob]='') or ([dob]=-992),y,,,,, @ONTOLOGY='NCIT:C42574'
agecalc,demographics_core,,calc,Calculated age in years:,"if([dob]<>"""" and [age_approx]="""", rounddown(datediff([dob],'today','y')), if([age_approxunits]='1',[age_approx],if([age_approxunits]='2',[age_approx]/12,if([age_approxunits]='3',[age_approx]/52.1428571,if([age_approxunits]='4',[age_approx]/365,"""")))))",,,,,,,y,,,,," @READONLY @HIDDEN
@ONTOLOGY='NCIT:C37908'"
sex,demographics_core,,radio,What was the participant's biological sex at birth?,"1, Male | 2, Female | 3, Other",,,,,y,,y,,,,, @ONTOLOGY='PATO:0000047'
cob,demographics_core,,dropdown,In which country was the participant born?,"4, Afghanistan | 248, Åland Islands | 8, Albania | 12, Algeria | 16, American Samoa | 20, Andorra | 24, Angola | 660, Anguilla | 10, Antarctica | 28, Antigua and Barbuda | 32, Argentina | 51, Armenia | 533, Aruba | 36, Australia | 40, Austria | 31, Azerbaijan | 44, Bahamas (the) | 48, Bahrain | 50, Bangladesh | 52, Barbados | 112, Belarus | 56, Belgium | 84, Belize | 204, Benin | 60, Bermuda | 64, Bhutan | 68, Bolivia (Plurinational State of) | 535, Bonaire, Sint Eustatius and Saba | 70, Bosnia and Herzegovina | 72, Botswana | 74, Bouvet Island | 76, Brazil | 86, British Indian Ocean Territory (the) | 96, Brunei Darussalam | 100, Bulgaria | 854, Burkina Faso | 108, Burundi | 132, Cabo Verde | 116, Cambodia | 120, Cameroon | 124, Canada | 136, Cayman Islands (the) | 140, Central African Republic (the) | 148, Chad | 152, Chile | 156, China | 162, Christmas Island | 166, Cocos (Keeling) Islands (the) | 170, Colombia | 174, Comoros (the) | 180, Congo (the Democratic Republic of the) | 178, Congo (the) | 184, Cook Islands (the) | 188, Costa Rica | 384, Côte d'Ivoire | 191, Croatia | 192, Cuba | 531, Curaçao | 196, Cyprus | 203, Czechia | 208, Denmark | 262, Djibouti | 212, Dominica | 214, Dominican Republic (the) | 218, Ecuador | 818, Egypt | 222, El Salvador | 226, Equatorial Guinea | 232, Eritrea | 233, Estonia | 748, Eswatini | 231, Ethiopia | 238, Falkland Islands (the) [Malvinas] | 234, Faroe Islands (the) | 242, Fiji | 246, Finland | 250, France | 254, French Guiana | 258, French Polynesia | 260, French Southern Territories (the) | 266, Gabon | 270, Gambia (the) | 268, Georgia | 276, Germany | 288, Ghana | 292, Gibraltar | 300, Greece | 304, Greenland | 308, Grenada | 312, Guadeloupe | 316, Guam | 320, Guatemala | 831, Guernsey | 324, Guinea | 624, Guinea-Bissau | 328, Guyana | 332, Haiti | 334, Heard Island and McDonald Islands | 336, Holy See (the) | 340, Honduras | 344, Hong Kong | 348, Hungary | 352, Iceland | 356, India | 360, Indonesia | 364, Iran (Islamic Republic of) | 368, Iraq | 372, Ireland | 833, Isle of Man | 376, Israel | 380, Italy | 388, Jamaica | 392, Japan | 832, Jersey | 400, Jordan | 398, Kazakhstan | 404, Kenya | 296, Kiribati | 408, Korea (the Democratic People's Republic of) | 410, Korea (the Republic of) | 414, Kuwait | 417, Kyrgyzstan | 418, Lao People's Democratic Republic (the) | 428, Latvia | 422, Lebanon | 426, Lesotho | 430, Liberia | 434, Libya | 438, Liechtenstein | 440, Lithuania | 442, Luxembourg | 446, Macao | 450, Madagascar | 454, Malawi | 458, Malaysia | 462, Maldives | 466, Mali | 470, Malta | 584, Marshall Islands (the) | 474, Martinique | 478, Mauritania | 480, Mauritius | 175, Mayotte | 484, Mexico | 583, Micronesia (Federated States of) | 498, Moldova (the Republic of) | 492, Monaco | 496, Mongolia | 499, Montenegro | 500, Montserrat | 504, Morocco | 508, Mozambique | 104, Myanmar | 516, Namibia | 520, Nauru | 524, Nepal | 528, Netherlands (the) | 540, New Caledonia | 554, New Zealand | 558, Nicaragua | 562, Niger (the) | 566, Nigeria | 570, Niue | 574, Norfolk Island | 807, North Macedonia | 580, Northern Mariana Islands (the) | 578, Norway | 512, Oman | 586, Pakistan | 585, Palau | 275, Palestine, State of | 591, Panama | 598, Papua New Guinea | 600, Paraguay | 604, Peru | 608, Philippines (the) | 612, Pitcairn | 616, Poland | 620, Portugal | 630, Puerto Rico | 634, Qatar | 638, Réunion | 642, Romania | 643, Russian Federation (the) | 646, Rwanda | 652, Saint Barthélemy | 654, Saint Helena, Ascension and Tristan da Cunha | 659, Saint Kitts and Nevis | 662, Saint Lucia | 663, Saint Martin (French part) | 666, Saint Pierre and Miquelon | 670, Saint Vincent and the Grenadines | 882, Samoa | 674, San Marino | 678, Sao Tome and Principe | 682, Saudi Arabia | 686, Senegal | 688, Serbia | 690, Seychelles | 694, Sierra Leone | 702, Singapore | 534, Sint Maarten (Dutch part) | 703, Slovakia | 705, Slovenia | 90, Solomon Islands | 706, Somalia | 710, South Africa | 239, South Georgia and the South Sandwich Islands | 728, South Sudan | 724, Spain | 144, Sri Lanka | 729, Sudan (the) | 740, Suriname | 744, Svalbard and Jan Mayen | 752, Sweden | 756, Switzerland | 760, Syrian Arab Republic (the) | 158, Taiwan (Province of China) | 762, Tajikistan | 834, Tanzania, the United Republic of | 764, Thailand | 626, Timor-Leste | 768, Togo | 772, Tokelau | 776, Tonga | 780, Trinidad and Tobago | 788, Tunisia | 792, Turkey | 795, Turkmenistan | 796, Turks and Caicos Islands (the) | 798, Tuvalu | 800, Uganda | 804, Ukraine | 784, United Arab Emirates (the) | 826, United Kingdom of Great Britain and Northern Ireland (the) | 581, United States Minor Outlying Islands (the) | 840, United States of America (the) | 858, Uruguay | 860, Uzbekistan | 548, Vanuatu | 862, Venezuela (Bolivarian Republic of) | 704, Viet Nam | 92, Virgin Islands (British) | 850, Virgin Islands (U.S.) | 876, Wallis and Futuna | 732, Western Sahara* | 887, Yemen | 894, Zambia | 716, Zimbabwe",,autocomplete,,,,,y,,,,, @ONTOLOGY='GENEPIO_0001094'
native_lang,demographics_core,,dropdown,What is the participant's native language?,"1, Abron | 2, Afar | 3, Afrikaans | 4, Akan | 5, Amharic, | 6, Arabic | 7, Bangi Me | 8, Bayot | 9, Berber | 10, Bhojpuri | 11, Cape Verdean Creole | 12, Chewa | 13, Comorian | 14, Creole | 15, Dangme | 16, Dinka | 17, Dompo | 18, English | 19, Ega | 20, Ewe | 21, Fon | 22, French | 23, Fulani | 24, Fur | 25, Ga | 26, German | 27, Gikuyu | 28, Gomba | 29, Gumuz | 30, Hadza | 31, Hausa | 32, Hindi | 33, Igbo | 34, Irimba | 35, Italian | 36, Jalaa | 37, Kanuri | 38, Khoekhoe | 39, Kimbundu | 40, Kinyarwanda | 41, Kirundi | 42, Kituba | 43, Kongo | 44, Kujarge | 45, Laal | 46, Lingala | 47, Lufu | 48, Luganda | 49, Luo | 50, Maasai | 51, Malagasy | 52, Mauritian Creole | 53, Mawa | 54, Meyobe | 55, Mimi | 56, Mossi | 57, Mpra | 58, Nambya | 59, Ndau | 60, Ndebele | 61, Nobiin | 62, Noon | 63, Oblo | 64, Ongota | 65, Oromo | 66, Oropom | 67, Portuguese | 68, Rer Bare | 69, Sena | 70, Sepedi | 71, Sesotho | 72, Seychellois Creole | 73, Shabo | 74, Shona | 75, Songhay | 76, Somali | 77, Sotho/Sesotho | 78, Spanish | 79, Swahili | 80, Swati (Eswatini) | 81, Swazi | 82, Tamil | 83, Telugu | 84, Tigrinya | 85, Tonga | 86, Kalenjin | 87, Tsonga | 88, Twi | 89, Tshiluba | 90, Tshivenda | 91, Tswana/Setswana | 92, Umbundu | 93, Venda | 94, Weyto | 95, Wutana | 96, Wolof | 97, Xhosa | 98, Yeni | 99, Yoruba | 100, Zulu | 777, Other",,autocomplete,,,,,y,,,,, @ONTOLOGY='NCIT:C16779'
native_lang_other,demographics_core,,text,(If Other) Specify other native language:,,,,,,,[native_lang]=777,y,,,,, @ONTOLOGY='NCIT:C16779'
